%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.894,82327.210,0.973,30.181,442.954,517.714,6.256,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,157.040,208.602,-23.097,-260.532,-328.827,-371.538,-398.318,-409.631,-355.916,-458.622,-444.582,-410.193,-441.993,-425.174,-410.049,-418.073
295.094,82424.332,0.973,30.160,442.545,516.877,6.247,-12.000,0.000,-2074.149,3917.671,104.223,-0.035,0.042,133.105,223.901,-2.673,-241.736,-314.578,-363.023,-392.122,-401.601,-351.901,-437.567,-398.489,-433.991,-430.700,-432.072,-446.016,-443.752
295.014,82387.330,0.973,30.146,442.062,518.532,6.256,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,114.260,223.007,-3.743,-243.511,-320.191,-368.734,-397.677,-409.310,-371.439,-427.419,-443.211,-397.975,-393.893,-378.768,-377.813,-385.861
294.903,82335.024,0.973,30.172,442.691,517.468,6.259,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,144.585,206.145,-22.456,-256.877,-323.538,-364.581,-390.627,-405.241,-363.959,-396.457,-420.075,-426.554,-397.553,-404.375,-406.214,-410.189
295.168,82445.319,0.973,30.146,442.132,516.294,6.250,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,136.245,219.657,-9.303,-249.881,-321.271,-360.427,-380.586,-390.359,-354.469,-432.527,-395.179,-446.957,-405.082,-405.211,-407.665,-401.404
294.889,82323.658,0.973,30.153,442.114,515.183,6.260,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,135.162,214.409,-13.366,-248.628,-318.356,-367.384,-399.279,-412.843,-363.624,-398.438,-445.605,-410.197,-435.762,-427.578,-430.883,-435.305
295.198,82396.048,0.972,30.176,442.703,517.173,6.256,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,117.184,225.687,-1.604,-242.258,-315.225,-358.454,-382.829,-401.387,-374.453,-457.860,-466.914,-454.075,-411.193,-434.831,-445.705,-444.765
295.001,82385.264,0.973,30.142,441.950,516.808,6.248,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,124.440,227.139,-2.780,-243.720,-323.538,-376.730,-404.513,-402.350,-337.946,-431.798,-371.654,-433.464,-438.585,-440.683,-472.660,-465.263
294.892,82326.048,0.973,30.155,442.163,516.510,6.261,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.043,104.188,226.246,-2.246,-239.647,-312.850,-363.334,-397.356,-417.554,-380.259,-462.655,-460.163,-452.694,-419.348,-434.204,-420.004,-415.644
295.199,82439.249,0.973,30.135,441.738,515.207,6.255,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,123.898,209.942,-23.632,-263.142,-330.987,-369.461,-394.793,-403.956,-349.780,-502.478,-430.730,-377.262,-412.238,-396.270,-393.262,-413.054
